The data are written in the following sequence:
path_length; cluster_number; max_cluster_size; min_cluster_size; median_cluster_size; max_surface_area; min_surface_area; median_surface_area; max_compactness; min_compactness; median_compactness : number_of_pathes
11,1,14,14,14,16,16,16,875,875,875:3
11,2,13,1,7,16,4,10,1000,812,906:6
13,1,12,12,12,14,14,14,1000,1000,1000:2
11,2,12,2,7,14,6,10,1000,1000,1000:4
11,3,12,1,1,14,4,4,1000,1000,1000:2
9,2,12,4,8,14,10,12,1000,1000,1000:2
11,2,12,2,7,16,6,11,1000,750,875:4
13,1,12,12,12,16,16,16,750,750,750:7
11,2,11,3,7,14,8,11,917,750,833:2
11,3,11,1,2,14,4,6,1000,917,1000:2
13,2,11,1,6,14,4,9,1000,917,958:2
9,2,11,5,8,14,12,13,917,625,771:2
15,1,10,10,10,14,14,14,833,833,833:9
13,2,10,2,6,14,6,10,1000,833,917:16
11,2,10,4,7,14,10,12,1000,833,917:7
11,2,10,4,7,14,8,11,1000,833,917:2
9,2,10,6,8,14,12,13,833,750,792:2
13,2,11,1,6,18,4,11,1000,688,844:4
13,3,10,1,1,16,4,4,1000,833,1000:2
13,2,10,2,6,16,6,11,1000,833,917:2
11,2,10,4,7,16,10,13,1000,833,917:2
13,3,9,1,2,14,4,6,1000,750,1000:6
15,2,9,1,5,14,4,9,1000,750,875:12
11,2,9,5,7,14,12,13,750,625,688:8
13,2,9,3,6,14,8,11,750,750,750:6
9,2,9,7,8,14,12,13,875,750,812:2
13,2,11,1,6,16,4,10,1000,688,844:14
13,3,10,1,1,14,4,4,1000,833,1000:9
13,2,10,2,6,16,6,11,1000,625,812:8
15,1,10,10,10,16,16,16,625,625,625:12
17,1,8,8,8,12,12,12,1000,1000,1000:14
15,2,8,2,5,12,6,9,1000,1000,1000:16
13,2,8,4,6,12,10,11,1000,1000,1000:2
13,2,8,4,6,12,8,10,1000,1000,1000:5
11,2,8,6,7,12,12,12,1000,750,875:4
13,3,8,2,2,12,6,6,1000,1000,1000:2
11,2,8,6,7,14,12,13,1000,750,875:2
9,2,8,8,8,12,12,12,1000,1000,1000:1
11,2,11,3,7,16,8,12,1000,688,844:4
11,2,10,4,7,14,10,12,833,667,750:2
11,3,10,1,3,14,4,8,1000,833,1000:2
9,2,10,6,8,14,14,14,833,500,667:2
13,1,12,12,12,18,18,18,750,750,750:2
11,2,9,5,7,14,10,12,833,750,792:2
13,2,9,3,6,14,8,11,1000,750,875:3
9,2,9,7,8,14,14,14,750,583,667:2
13,3,8,1,3,14,4,8,1000,667,1000:8
15,3,8,1,1,14,4,4,1000,667,1000:26
11,2,8,6,7,14,14,14,667,500,583:6
15,2,8,2,5,14,6,10,1000,667,833:28
13,2,8,4,6,14,10,12,1000,667,833:12
9,2,8,8,8,14,14,14,667,667,667:2
13,2,9,3,6,16,8,12,1000,562,781:5
15,2,9,1,5,16,4,10,1000,562,781:16
13,2,8,4,6,14,10,12,667,667,667:6
15,1,10,10,10,18,18,18,625,625,625:2
17,1,8,8,8,14,14,14,667,667,667:14
13,2,7,5,6,12,10,11,875,833,854:3
15,2,7,3,5,12,8,10,1000,875,938:7
17,2,7,1,4,12,4,8,1000,875,938:17
11,2,7,7,7,14,12,13,875,583,729:2
13,3,7,2,3,12,6,8,1000,875,1000:2
15,3,7,1,2,12,4,6,1000,875,1000:6
11,2,7,7,7,16,12,14,875,583,729:2
15,2,7,3,5,12,8,10,875,750,812:2
13,2,7,5,6,12,12,12,875,625,750:2
13,2,8,4,6,14,8,11,1000,667,833:2
11,2,8,6,7,14,12,13,750,667,708:2
15,2,7,3,5,14,8,11,750,583,667:6
13,2,7,5,6,14,12,13,625,583,604:6
17,2,7,1,4,14,4,9,1000,583,792:8
19,1,6,6,6,12,12,12,750,750,750:34
17,2,6,2,4,12,6,9,1000,750,875:40
15,2,6,4,5,12,10,11,1000,750,875:6
15,2,6,4,5,12,8,10,1000,750,875:10
13,2,6,6,6,12,12,12,750,750,750:4
11,2,8,6,7,14,10,12,1000,667,833:2
13,2,6,6,6,12,10,11,1000,750,875:5
15,2,6,4,5,12,10,11,750,667,708:8
