11,875,5
11,906,1
13,1000,16
11,1000,6
9,1000,3
13,750,11
11,833,2
13,958,1
9,771,1
15,833,4
13,917,2
11,917,3
9,792,1
13,844,2
15,875,4
11,688,1
9,812,2
13,812,1
15,625,4
17,1000,28
15,1000,28
11,844,2
11,750,3
9,667,3
11,792,1
13,875,4
11,583,1
13,833,4
13,781,2
15,781,2
13,667,1
17,667,2
13,854,1
15,938,1
17,938,1
11,729,2
15,812,1
11,708,1
15,667,3
13,604,2
17,792,3
19,750,3
17,875,2
15,708,2
13,625,1
15,750,4
17,500,2
13,500,1
17,750,2
17,812,1
19,812,1
17,688,1
15,583,1
19,500,1
15,729,1
15,719,1
17,719,1
21,1000,6
19,1000,13
17,833,2
9,719,1
9,694,1
11,608,1
9,670,1
11,812,2
17,889,2
15,944,1
13,944,2
11,819,1
13,701,1
15,764,1
11,826,1
9,646,1
11,698,1
13,635,1
9,760,1
13,497,1
11,559,1
13,583,2
11,646,1
19,778,1
15,590,1
17,653,1
13,715,1
19,833,1
21,667,1
9,622,1
9,708,1
15,792,2
17,917,1
19,875,1
9,906,1
19,917,1
21,875,1
23,1000,2
9,875,1
9,781,1
9,938,1
9,969,1
25,0,1
